Date,total_sales,total_cost_of_sales,Quantity Sold,unit_selling_price,unit_cost_price,gross_profit,daily_gross_profit_percentage
2013-12-30,223937.96786972653,230079.62101244804,6827,32.801811611209395,33.701423906906115,-6141.653142721509,-0.0274256893600747
2013-12-31,300345.48456398566,306986.1204842832,9268,32.40672038886336,33.12323268065205,-6640.635920297529,-0.02210999086581176
2014-01-01,86782.4677274178,87986.31821444989,2678,32.40570116781844,32.85523458343909,-1203.8504870320903,-0.01387204718369341
2014-01-02,200173.11675267716,202881.17770623261,6175,32.41669906925946,32.855251450402044,-2708.060953555454,-0.01352859463591899
2014-01-03,326906.07417633064,333806.2918733548,10084,32.41829375013196,33.10256761933309,-6900.217697024171,-0.021107646024656753
2014-01-04,307043.9354221619,313652.34827236354,9470,32.42280205091467,33.120628117461834,-6608.412850201654,-0.0215226945978125
2014-01-05,179188.88448780973,183083.28498402698,5524,32.43824845905317,33.1432449283177,-3894.4004962172476,-0.02173349372283293
2014-01-06,306351.9508589919,313446.068148843,9448,32.42505830429635,33.17591745859897,-7094.117289851129,-0.023156755718250408
2014-01-07,224020.40996847834,229533.97372837967,6911,32.41504991585564,33.21284527975397,-5513.563759901328,-0.024611881393651298
2014-01-08,101836.4022362371,99381.96751722493,2990,34.05899740342378,33.23811622649663,2454.434719012177,0.024101742256353982
2014-01-09,107804.30494723172,104816.45851255264,3159,34.126085769937234,33.180265436072375,2987.846434679086,0.0277154649449443
2014-01-10,144829.95672393017,141333.99628349254,4246,34.109740161076346,33.28638631264544,3495.9604404376296,0.024138379376177733
2014-01-11,146571.48235324016,143179.66998839285,4297,34.1101890512544,33.3208447727235,3391.812364847312,0.02314101154188355
2014-01-12,95422.3729783171,93126.14723834406,2796,34.12817345433373,33.30691961314165,2296.2257399730443,0.024063808814467624
2014-01-13,114883.17379115624,112186.30866305273,3369,34.10008126778161,33.29958701782509,2696.8651281035127,0.023474848745092022
2014-01-14,80090.80007989271,78096.76018225115,2348,34.110221499102515,33.260971116802025,1994.03989764156,0.024897240327883503
2014-01-15,98945.37115907783,97159.00258686997,2903,34.083834364132905,33.468481772948664,1786.3685722078517,0.018054089355386282
2014-01-16,84904.90171410782,83350.43315882455,2491,34.084665481376085,33.46063153706325,1554.468555283267,0.018308348798488465
2014-01-17,135460.61970398517,132703.33541977167,3968,34.13826101410917,33.4433809021602,2757.2842842134996,0.02035487723471844
2014-01-18,149925.74968577514,146928.41178089235,4393,34.12832908849878,33.44603045319653,2997.337904882792,0.01999214885478193
2014-01-19,74297.30718418294,72782.28432140293,2176,34.14398308096642,33.44774095652708,1515.0228627800097,0.020391356298072417
2014-01-20,83356.4245612027,81789.13612235275,2443,34.12051762636214,33.47897508078295,1567.2884388499515,0.018802251261379414
2014-01-21,89922.01428617258,88388.91606915972,2638,34.087192678609775,33.50603338482173,1533.0982170128555,0.017049197898679657
2014-01-22,57806.30278009904,57157.2825440923,1704,33.92388660803934,33.543006187847595,649.0202360067415,0.011227499507721147
2014-01-23,63977.75034892355,62863.98723906299,1872,34.17614869066429,33.581189764456724,1113.7631098605634,0.017408600705499842
2014-01-24,116958.79984795197,114823.79522381267,3423,34.16850711304469,33.54478388075159,2135.0046241392993,0.018254330814909476
2014-01-25,155272.82480548017,152636.27656236594,4544,34.170956163177856,33.590729877281234,2636.54824311423,0.016980100970129166
2014-01-26,82885.21590976272,81583.16694985318,2426,34.16538166107284,33.6286755770211,1302.0489599095308,0.015709061569280026
2014-01-27,72353.4258824533,71377.15645543634,2117,34.17733863129585,33.716181603890576,976.2694270169595,0.013493064289768734
2014-01-28,50415.903762389156,49769.09824300322,1476,34.15711637018236,33.71890124864717,646.8055193859327,0.012829394518728375
2014-01-29,67458.30189127379,66529.44199653144,1974,34.17340521341124,33.70285815427125,928.8598947423452,0.013769393368950188
2014-01-30,64640.3693131938,63757.83986845208,1892,34.16510005982759,33.698646864932385,882.5294447417182,0.013652914643258147
2014-01-31,137693.8735003314,135609.50758204967,4030,34.16721426807231,33.650001881401906,2084.365918281721,0.01513768089527022
2014-02-01,181209.1284812126,178435.71534579594,5304,34.164616983637366,33.64172612100225,2773.41313541666,0.015305040969303057
2014-02-02,113433.58104545697,111466.51684753725,3320,34.1667412787521,33.57425206251122,1967.0641979197244,0.017341109923448946
2014-02-03,143192.53335617637,140505.63472300323,4191,34.16667462566843,33.525563045336014,2686.898633173143,0.018764237004521494
2014-02-04,130126.64989288137,128496.2877011727,3809,34.16294300154407,33.734914072242766,1630.3621917086712,0.012529041461151616
2014-02-05,187155.86854573974,195078.60333094277,5764,32.469789824035345,33.84431008517397,-7922.734785203036,-0.042332280824348124
2014-02-06,102314.70959650404,101977.98995528856,3028,33.789534212848096,33.6783322177307,336.71964121547353,0.003291018882264206
2014-02-07,301553.8425550869,313529.1877487157,9284,32.481025695291564,33.77091638827183,-11975.345193628804,-0.03971212932377469
2014-02-08,316073.1775493943,329754.7794635822,9737,32.46104319085902,33.86615789910467,-13681.601914187893,-0.04328618461163096
2014-02-09,135178.0425545823,141530.70868329128,4163,32.47130496146584,33.99728769716341,-6352.666128708981,-0.04699480780056344
2014-02-10,147727.5161863135,154828.68457507665,4552,32.45332077906711,34.01333140928749,-7101.168388763152,-0.04806936833492265
2014-02-11,135498.74644438608,139824.1616410127,4172,32.47812714390846,33.514899722198635,-4325.415196626622,-0.03192217869264155
2014-02-12,163432.8452052823,166893.3689190051,5037,32.446465198586914,33.133485987493565,-3460.523713722796,-0.02117397949828355
2014-02-13,138291.63332158606,141027.43445568127,4259,32.470446894009406,33.11280452117428,-2735.801134095207,-0.019782839123270182
2014-02-14,336901.37170009944,343519.87554694666,10381,32.4536529910509,33.09121236363998,-6618.503846847219,-0.01964522677200268
2014-02-15,367729.26821441203,373973.5933348522,11332,32.45051784454748,33.001552535726454,-6244.32512044016,-0.016980767265985693
2014-02-16,133913.8413873911,136797.07737015275,4127,32.44822907375602,33.14685664408838,-2883.23598276166,-0.021530530025054874
2014-02-17,150800.3470166623,152887.1063994804,4649,32.43715788699985,32.88601987513022,-2086.759382818098,-0.013837895098394745
2014-02-18,55591.93033577391,53463.2442119933,1627,34.16836529549718,32.86001488137265,2128.686123780615,0.038291279164501084
2014-02-19,106427.191838824,107736.44407595859,3281,32.4374251261274,32.836465734824316,-1309.252237134584,-0.012301858336329576
2014-02-20,78940.55442479794,75934.39482203958,2310,34.17340018389521,32.872032390493324,3006.1596027583582,0.038081308456253
2014-02-21,317916.3178585343,322089.78895544185,9802,32.43382145057481,32.85959895485022,-4173.471096907568,-0.013127577486490233
2014-02-22,309217.8755625262,320116.92432327796,9772,31.643253741560194,32.75858824429778,-10899.048760751728,-0.03524714973519653
2014-02-23,138491.5499504623,140752.60159166716,4270,32.43361825537759,32.963138546057884,-2261.05164120486,-0.016326278693636013
2014-02-24,133146.22220523606,134505.40422379476,4106,32.427233854173416,32.75825723911222,-1359.1820185586985,-0.010208190634681393
2014-02-25,224994.65618289215,227546.44655960065,6937,32.43399973805567,32.80185188980837,-2551.7903767084936,-0.011341559928579865
2014-02-26,225051.59146803216,228214.1421194314,6934,32.45624336141219,32.91233661947381,-3162.550651399244,-0.014052558485677156
2014-02-27,344299.68244113005,365935.6529559262,11082,31.06837055054413,33.02072306045174,-21635.97051479615,-0.06284051835713084
2014-02-28,661876.4999996495,686656.7909921708,20805,31.813338139853375,33.004411967900545,-24780.29099252133,-0.03743944828458852
2014-03-01,846678.388160804,872081.5850035211,26410,32.05900750324892,33.020885460186335,-25403.196842717007,-0.03000336042342957
2014-03-02,478902.30487182323,495554.4499238885,15004,31.91830877578134,33.02815582004055,-16652.145052065258,-0.03477148654885291
2014-03-03,538827.2021325426,557567.1369848134,16884,31.913480344263363,33.02340304340283,-18739.93485227076,-0.03477911801427769
2014-03-04,310346.1212875447,323325.0299270246,9789,31.70355718536569,33.02942383563435,-12978.908639479894,-0.04182075350461544
2014-03-05,256390.52221047232,267308.50708271045,8079,31.73542792554429,33.086830929905986,-10917.984872238128,-0.04258341836550221
2014-03-06,167803.65977609382,168135.6900061219,5072,33.08431777919831,33.14978115262656,-332.03023002808914,-0.001978682887316811
2014-03-07,465318.02151156624,483774.59671529237,14551,31.97842220545435,33.24682817093618,-18456.575203726126,-0.039664432389209234
2014-03-08,520146.74963959056,541498.9582445963,16262,31.98541075141991,33.298423210219916,-21352.208605005697,-0.04105035476968881
2014-03-09,224699.25281941216,233589.98296832,7014,32.035821616682654,33.30339078533219,-8890.730148907838,-0.03956724393762538
2014-03-10,286230.6788963384,297642.8914364595,8932,32.04553055265768,33.32320772911548,-11412.212540121109,-0.039870682570173295
2014-03-11,187143.0180625835,191499.04281320787,5737,32.620362221123145,33.37964838996128,-4356.024750624376,-0.02327644811823893
2014-03-12,191700.3891282347,197153.4240190601,5903,32.47507862582326,33.398852112325955,-5453.0348908253945,-0.028445612007483616
2014-03-13,164663.9676028023,168975.17404544077,5056,32.568031567009946,33.4207227146837,-4311.206442638475,-0.026181844792163903
2014-03-14,395941.3451321622,406765.91395402345,12167,32.5422326894191,33.431898903100475,-10824.568821861234,-0.02733881913304122
2014-03-15,518183.2103749144,534383.1431186085,15971,32.44525767797348,33.45959195533207,-16199.93274369411,-0.03126294410807556
2014-03-16,226617.95494027078,233191.10456622293,6968,32.522668619441845,33.46600237747172,-6573.149625952152,-0.029005422927254918
2014-03-17,243707.871947377,250794.22126409467,7494,32.520399245713506,33.46600230372227,-7086.349316717678,-0.029077227830571716
2014-03-18,94849.7437997705,90571.58892297688,2707,35.03869368295918,33.45828922163904,4278.154876793618,0.0451045485776417
2014-03-19,92386.78306657562,88255.8409917939,2637,35.03480586521639,33.4682749305248,4130.94207478172,0.04471356115738857
2014-03-20,180394.82770444016,172344.3044394809,5149,35.03492478237331,33.471412786848106,8050.523264959251,0.04462723996803983
2014-03-21,200939.69236394396,192019.14427492704,5735,35.03743546014716,33.481978077581,8920.548089016927,0.04439415619717354
2014-03-22,172953.92471044016,165201.30501850985,4936,35.039287826264214,33.468659849779144,7752.619691930304,0.04482476882157926
